track_id,spotify_track_uri
000G1xMMuwxNHmwVsBdtj1,spotify:track:000G1xMMuwxNHmwVsBdtj1
000JdrDVdKvA4vSwB1yW1m,spotify:track:000JdrDVdKvA4vSwB1yW1m
0018PiV464AhvgUyeCd20F,spotify:track:0018PiV464AhvgUyeCd20F
001JylntGYCuHdwEI9XWvy,spotify:track:001JylntGYCuHdwEI9XWvy
001NMNauIqU8t70X48P8vX,spotify:track:001NMNauIqU8t70X48P8vX
001S9Zf5QYPlQxIzkbotnj,spotify:track:001S9Zf5QYPlQxIzkbotnj
002tPp1Rp6BnD2Dv1HENp3,spotify:track:002tPp1Rp6BnD2Dv1HENp3
003eoIwxETJujVWmNFMoZy,spotify:track:003eoIwxETJujVWmNFMoZy
004vVYQv7qTUoyzje9AqxY,spotify:track:004vVYQv7qTUoyzje9AqxY
004y2GqsEyEXoavUEqVLsr,spotify:track:004y2GqsEyEXoavUEqVLsr
0065zxtT6XKaQww7cLne0h,spotify:track:0065zxtT6XKaQww7cLne0h
00735M13Mfz95N5tkgfUGF,spotify:track:00735M13Mfz95N5tkgfUGF
008Dda2chlwC4MckLq5f4Y,spotify:track:008Dda2chlwC4MckLq5f4Y
008Hxqmd6GXPbelzqNIFBi,spotify:track:008Hxqmd6GXPbelzqNIFBi
008oS4yLWbfYiGzPerBPdt,spotify:track:008oS4yLWbfYiGzPerBPdt
00B4W6zBsaLWoyIPVkO50Q,spotify:track:00B4W6zBsaLWoyIPVkO50Q
00B7SBwrjbycLMOgAmeIU8,spotify:track:00B7SBwrjbycLMOgAmeIU8
00BS6JZRNW8HwggZutOu2o,spotify:track:00BS6JZRNW8HwggZutOu2o
00DFViiEIwY9Qr3oD6GTvK,spotify:track:00DFViiEIwY9Qr3oD6GTvK
00DKMOFwIHrs2L2kAEpdEP,spotify:track:00DKMOFwIHrs2L2kAEpdEP
00EBCW5IeOEA7WIvXcZxp0,spotify:track:00EBCW5IeOEA7WIvXcZxp0
00Eiejl7c1kSCwUYQ4dTkp,spotify:track:00Eiejl7c1kSCwUYQ4dTkp
00F2J6Du0rcyvY6rP1UHKW,spotify:track:00F2J6Du0rcyvY6rP1UHKW
00FIgxBGwRKQuUdMovKCu0,spotify:track:00FIgxBGwRKQuUdMovKCu0
00FgJejlydDILxcPJiTTGW,spotify:track:00FgJejlydDILxcPJiTTGW
00GkKT4DQvRGHYRJWDplzF,spotify:track:00GkKT4DQvRGHYRJWDplzF
00H9ekrHOM5SRtieWkPThS,spotify:track:00H9ekrHOM5SRtieWkPThS
00HRepvlnm6qcRKr7benVb,spotify:track:00HRepvlnm6qcRKr7benVb
00IrSynHsun7DpDrLkRIjM,spotify:track:00IrSynHsun7DpDrLkRIjM
00Ixx5e4xGbnJWWkGCw7SW,spotify:track:00Ixx5e4xGbnJWWkGCw7SW
00JZ8gYC7ete4eCxHN3SJG,spotify:track:00JZ8gYC7ete4eCxHN3SJG
00KHxPLPJciGi7kD71b4H2,spotify:track:00KHxPLPJciGi7kD71b4H2
00KiXBZT9vf1XhcqkFrzug,spotify:track:00KiXBZT9vf1XhcqkFrzug
00L9p3dKK3ufNyua3pzVeC,spotify:track:00L9p3dKK3ufNyua3pzVeC
00LHyUHvDgTkB5Tg3oKc9B,spotify:track:00LHyUHvDgTkB5Tg3oKc9B
00LlaFLffMb30BOGLbRZpE,spotify:track:00LlaFLffMb30BOGLbRZpE
00Lr7aRuksjiNl62iGFS8d,spotify:track:00Lr7aRuksjiNl62iGFS8d
00LrCrCQuJNrMsELnh9d1u,spotify:track:00LrCrCQuJNrMsELnh9d1u
00M8rxeJ3hTKOjCZEbVhnk,spotify:track:00M8rxeJ3hTKOjCZEbVhnk
00MNsXeXnNzIer16981xBd,spotify:track:00MNsXeXnNzIer16981xBd
00N4DgM8so0Pn1Pdb0m9Kc,spotify:track:00N4DgM8so0Pn1Pdb0m9Kc
00NJC5H7lMteO234u8BvcN,spotify:track:00NJC5H7lMteO234u8BvcN
00Or7FefdVZQYIGWRmPvNq,spotify:track:00Or7FefdVZQYIGWRmPvNq
00PLtXXER1XcTRZvs3LioS,spotify:track:00PLtXXER1XcTRZvs3LioS
00PYH2P9NCS87FDSwqIW13,spotify:track:00PYH2P9NCS87FDSwqIW13
00PYMeyU91Xt0j9UwmEpoX,spotify:track:00PYMeyU91Xt0j9UwmEpoX
00PwiyUWMgSq17r1Lupa9d,spotify:track:00PwiyUWMgSq17r1Lupa9d
00Q4ECrjoBJDn48bNip1AO,spotify:track:00Q4ECrjoBJDn48bNip1AO
00RhMZwmPZEZY3bbFV5VJK,spotify:track:00RhMZwmPZEZY3bbFV5VJK
00Stwc6TyROJyF3YaQBgZn,spotify:track:00Stwc6TyROJyF3YaQBgZn
00TOgVTlUSAtmW1LyTTcyY,spotify:track:00TOgVTlUSAtmW1LyTTcyY
00TZ1ds7glf3qrIiN51Uic,spotify:track:00TZ1ds7glf3qrIiN51Uic
00U1MDChdOTxWwtKoOoBXE,spotify:track:00U1MDChdOTxWwtKoOoBXE
00UrlBMkJC1b9C9Fc8ypJN,spotify:track:00UrlBMkJC1b9C9Fc8ypJN
00W8ykPMqEMBNOmhsKt8wu,spotify:track:00W8ykPMqEMBNOmhsKt8wu
00WA4fR6FSA6zfGRguixVm,spotify:track:00WA4fR6FSA6zfGRguixVm
00WnrMq7G0kx92UfUFiXNu,spotify:track:00WnrMq7G0kx92UfUFiXNu
00XXUBsdOe8cLPo2p64Dd3,spotify:track:00XXUBsdOe8cLPo2p64Dd3
00Xd2kKNrdlo4qHvuvm3YN,spotify:track:00Xd2kKNrdlo4qHvuvm3YN
00Xt5o5NuxyisDkyXDosYj,spotify:track:00Xt5o5NuxyisDkyXDosYj
